업종그룹,순위,종목코드,종목명,현재가,대비구분,대비가,대비율,조회수치,조회비중
14,288,USADD,듀폰,76.545,2,0.305,0.4,31463,0.06
112,289,USAHSY,허쉬,152.3,2,0.55,0.36,31427,0.06
82,290,USADECK,덱커 아웃도어,204,2,0.27,0.13,31317,0.06
236,291,USAROK,로크웰 오토메이션,275.74,5,-0.37,-0.13,31307,0.06
242,292,USAEFX,에퀴팩스,264.58,2,1.05,0.4,31278,0.06
144,293,USAAVB,아발론베이 커뮤니티,217.1,5,-0.01,0,31037,0.06
150,294,USADXCM,덱스컴,80.4,3,0,0,30923,0.06
172,295,USAEBAY,이베이,65.25,2,0.14,0.22,30852,0.06
282,296,USAHPQ,HP,32.93,2,0.14,0.43,30637,0.06
163,297,USAMCHP,마이크로칩 테크놀러지,57.16,2,0.16,0.28,30545,0.06
144,298,USAVICI,VICI 프라퍼티,28.88,2,0.12,0.42,30539,0.06
144,299,USAIRM,아이언 마운틴,103.75,5,-2.43,-2.29,30531,0.06
5,300,USATPL,텍사스 퍼시픽 랜드,1375.59,2,0.6,0.04,30517,0.06
259,301,USALYV,라이브 네이션 엔터테인먼트,133.37,3,0,0,30503,0.06
5,302,USAEQT,EQT,52.78,2,0.34,0.65,30245,0.06
157,303,USACAH,카디널 헬스,124.92,2,0.21,0.17,30016,0.06
182,304,USAWEC,WEC 에너지 그룹,96.2682,2,0.6982,0.73,29920,0.06
172,305,USAANSS,앤시스,343.07,3,0,0,29696,0.05
282,306,USAHPE,휴렛패커드 엔터프라이즈,23.35,2,0.05,0.21,29647,0.05
136,307,USABRO,브라운 & 브라운,102.58,5,-1.1,-1.06,29633,0.05
163,308,USAMPWR,모놀리식 파워 시스템즈,605.1,2,2.69,0.45,28772,0.05
127,309,USAFITB,피프스 서드 뱅코프,44.15,2,0.15,0.34,28759,0.05
229,310,USANUE,뉴코,123.12,2,0.04,0.03,28588,0.05
172,311,USACSGP,코스타 그룹,73.22,3,0,0,28537,0.05
288,312,USAKEYS,키사이트 테크놀로지스,165.6,2,0.26,0.16,28445,0.05
202,313,USATSCO,트랙터 서플라이,52.86,5,-0.24,-0.45,28408,0.05
108,314,USAABEV,암베브 ADR,1.8599,2,0.0099,0.54,28310,0.05
112,315,USAK,켈라노바,81.115,5,-0.075,-0.09,28068,0.05
14,316,USADOW,다우,40.56,2,0.16,0.4,28059,0.05
236,317,USAXYL,자일럼,116.09,3,0,0,28040,0.05
263,318,USASTT,스테이트 스트리트,100.9395,2,1.1695,1.17,27978,0.05
